Trade #,Strategy,Entry Time,Exit Time,Side,Entry Price,Exit Price,Position Size,P&L ($),P&L (%),Commission,Duration (hrs),Result
1,HMA_WAE_55_BTC_12h_1y,2024-08-14 00:00:00,2024-08-29 00:00:00,Long,$61327.5184,$60037.0265,0.285068,$-384.99,-2.20%,$34.23,360.0,Loss
2,HMA_WAE_55_BTC_12h_1y,2024-09-12 00:00:00,2024-10-01 12:00:00,Long,$58087.0190,$60775.3771,0.296334,$778.64,4.52%,$36.02,468.0,Win
3,HMA_WAE_55_BTC_12h_1y,2024-10-14 12:00:00,2024-10-27 00:00:00,Long,$66117.0320,$67094.4760,0.268583,$244.50,1.38%,$36.04,300.0,Win
4,HMA_WAE_55_BTC_12h_1y,2024-10-29 00:00:00,2024-11-03 12:00:00,Long,$71487.7360,$68741.6020,0.250798,$-705.97,-3.94%,$34.48,132.0,Loss
5,HMA_WAE_55_BTC_12h_1y,2024-11-06 12:00:00,2024-11-26 12:00:00,Long,$75609.7760,$91919.1774,0.230593,$3739.63,21.45%,$42.39,480.0,Win
6,HMA_WAE_55_BTC_12h_1y,2025-01-15 12:00:00,2025-01-27 12:00:00,Long,$100547.5987,$102031.7886,0.199423,$275.63,1.37%,$40.69,288.0,Win
7,HMA_WAE_55_BTC_12h_1y,2025-03-07 00:00:00,2025-03-08 12:00:00,Long,$89011.4435,$86179.3388,0.227435,$-663.72,-3.28%,$39.20,36.0,Loss
8,HMA_WAE_55_BTC_12h_1y,2025-04-12 00:00:00,2025-05-05 12:00:00,Long,$83570.0641,$94686.3132,0.236687,$2608.66,13.19%,$44.82,564.0,Win
9,HMA_WAE_55_BTC_12h_1y,2025-05-08 12:00:00,2025-05-30 00:00:00,Long,$103313.2308,$105827.5697,0.209122,$503.67,2.33%,$44.26,516.0,Win
10,HMA_WAE_55_BTC_12h_1y,2025-06-09 12:00:00,2025-06-13 00:00:00,Long,$110318.1515,$104986.9603,0.199038,$-1082.01,-4.93%,$41.79,84.0,Loss
