Trade #,Strategy,Entry Time,Exit Time,Side,Entry Price,Exit Price,Position Size,P&L ($),P&L (%),Commission,Duration (hrs),Result
31,HMA_WAE_45_8h_3mo,2025-04-14 00:00:00,2025-04-14 08:00:00,Short,$84538.4696,$84143.2106,0.040783,$12.69,0.37%,$6.86,8.0,Win
32,HMA_WAE_45_8h_3mo,2025-04-14 16:00:00,2025-04-15 00:00:00,Short,$84549.2842,$85759.6284,0.040749,$-52.82,-1.53%,$6.99,8.0,Loss
33,HMA_WAE_45_8h_3mo,2025-04-15 08:00:00,2025-04-15 16:00:00,Short,$84875.6809,$83685.8120,0.040564,$44.87,1.30%,$6.79,8.0,Win
34,HMA_WAE_45_8h_3mo,2025-04-16 00:00:00,2025-04-16 08:00:00,Short,$83321.4884,$84889.0033,0.041292,$-68.23,-1.98%,$7.01,8.0,Loss
35,HMA_WAE_45_8h_3mo,2025-04-16 16:00:00,2025-04-17 00:00:00,Short,$83988.3648,$84712.3150,0.040935,$-33.10,-0.96%,$6.94,8.0,Loss
36,HMA_WAE_45_8h_3mo,2025-04-17 08:00:00,2025-04-17 16:00:00,Short,$84489.4441,$84990.3840,0.040664,$-23.83,-0.69%,$6.91,8.0,Loss
37,HMA_WAE_45_8h_3mo,2025-04-18 00:00:00,2025-04-18 08:00:00,Short,$84612.3527,$84416.7773,0.040576,$4.51,0.13%,$6.85,8.0,Win
38,HMA_WAE_45_8h_3mo,2025-04-18 16:00:00,2025-04-19 00:00:00,Short,$84432.4527,$85259.9987,0.040634,$-37.09,-1.08%,$6.93,8.0,Loss
39,HMA_WAE_45_8h_3mo,2025-04-19 08:00:00,2025-04-19 16:00:00,Short,$85148.5944,$85119.5485,0.040264,$-2.26,-0.07%,$6.85,8.0,Loss
40,HMA_WAE_45_8h_3mo,2025-04-20 00:00:00,2025-04-20 08:00:00,Short,$84741.6180,$84386.8323,0.040429,$10.93,0.32%,$6.82,8.0,Win
41,HMA_WAE_45_8h_3mo,2025-04-20 16:00:00,2025-04-21 00:00:00,Short,$85136.6504,$87478.4974,0.040213,$-97.69,-2.85%,$7.04,8.0,Loss
42,HMA_WAE_45_8h_3mo,2025-04-21 08:00:00,2025-04-21 16:00:00,Short,$88000.7776,$87559.9881,0.038877,$13.73,0.40%,$6.81,8.0,Win
43,HMA_WAE_45_8h_3mo,2025-04-22 00:00:00,2025-04-22 08:00:00,Short,$88432.5916,$90980.0773,0.038660,$-102.00,-2.98%,$7.03,8.0,Loss
44,HMA_WAE_45_8h_3mo,2025-04-22 16:00:00,2025-04-23 00:00:00,Short,$93396.2685,$94180.8869,0.036579,$-32.15,-0.94%,$6.89,8.0,Loss
45,HMA_WAE_45_8h_3mo,2025-04-23 08:00:00,2025-04-23 16:00:00,Short,$93148.6824,$93737.9255,0.036651,$-25.03,-0.73%,$6.87,8.0,Loss
46,HMA_WAE_45_8h_3mo,2025-04-24 00:00:00,2025-04-24 08:00:00,Short,$92157.4482,$93249.1113,0.037019,$-43.86,-1.29%,$6.90,8.0,Loss
47,HMA_WAE_45_8h_3mo,2025-04-24 16:00:00,2025-04-25 00:00:00,Short,$93933.4798,$93819.1461,0.036294,$0.74,0.02%,$6.81,8.0,Win
48,HMA_WAE_45_8h_3mo,2025-04-25 08:00:00,2025-04-25 16:00:00,Short,$95013.6894,$94685.9993,0.035856,$8.35,0.25%,$6.79,8.0,Win
49,HMA_WAE_45_8h_3mo,2025-04-26 00:00:00,2025-04-26 08:00:00,Short,$94523.0248,$94420.4266,0.036017,$0.29,0.01%,$6.80,8.0,Win
50,HMA_WAE_45_8h_3mo,2025-04-26 16:00:00,2025-04-27 00:00:00,Short,$94580.6860,$94113.0130,0.035970,$13.44,0.39%,$6.77,8.0,Win
51,HMA_WAE_45_8h_3mo,2025-04-27 08:00:00,2025-04-27 16:00:00,Short,$93854.1295,$93796.1747,0.036223,$-1.30,-0.04%,$6.80,8.0,Loss
52,HMA_WAE_45_8h_3mo,2025-04-28 00:00:00,2025-04-28 08:00:00,Short,$94645.1438,$93880.4268,0.035895,$24.08,0.71%,$6.74,8.0,Win
53,HMA_WAE_45_8h_3mo,2025-04-28 16:00:00,2025-04-29 00:00:00,Short,$94963.6744,$94965.0688,0.035750,$-3.44,-0.10%,$6.79,8.0,Loss
54,HMA_WAE_45_8h_3mo,2025-04-29 08:00:00,2025-04-29 16:00:00,Short,$94795.6785,$94303.9484,0.035788,$14.22,0.42%,$6.75,8.0,Win
55,HMA_WAE_45_8h_3mo,2025-04-30 00:00:00,2025-04-30 08:00:00,Short,$94573.6795,$94051.6323,0.035847,$15.34,0.45%,$6.74,8.0,Win
56,HMA_WAE_45_8h_3mo,2025-04-30 16:00:00,2025-05-01 00:00:00,Short,$94124.9140,$95073.3529,0.035993,$-37.56,-1.11%,$6.84,8.0,Loss
57,HMA_WAE_45_8h_3mo,2025-05-01 08:00:00,2025-05-01 16:00:00,Short,$96805.8729,$96538.1550,0.034971,$5.99,0.18%,$6.75,8.0,Win
58,HMA_WAE_45_8h_3mo,2025-05-02 00:00:00,2025-05-02 08:00:00,Short,$96301.8250,$97378.8551,0.035130,$-41.26,-1.22%,$6.84,8.0,Loss
59,HMA_WAE_45_8h_3mo,2025-05-02 16:00:00,2025-05-03 00:00:00,Short,$96838.6964,$96370.8413,0.034911,$12.97,0.38%,$6.73,8.0,Win
60,HMA_WAE_45_8h_3mo,2025-05-03 08:00:00,2025-05-03 16:00:00,Short,$96370.4707,$95904.3482,0.035056,$12.98,0.38%,$6.72,8.0,Win
61,HMA_WAE_45_8h_3mo,2025-05-04 00:00:00,2025-05-04 08:00:00,Short,$95832.0500,$95515.3338,0.035228,$7.79,0.23%,$6.73,8.0,Win
62,HMA_WAE_45_8h_3mo,2025-05-04 16:00:00,2025-05-05 00:00:00,Short,$94230.4812,$94809.2910,0.035802,$-24.12,-0.71%,$6.79,8.0,Loss
63,HMA_WAE_45_8h_3mo,2025-05-05 08:00:00,2025-05-05 16:00:00,Short,$93723.4248,$94781.0468,0.035970,$-41.45,-1.23%,$6.82,8.0,Loss
64,HMA_WAE_45_8h_3mo,2025-05-06 00:00:00,2025-05-06 08:00:00,Short,$94353.7895,$94606.2295,0.035705,$-12.39,-0.37%,$6.76,8.0,Loss
65,HMA_WAE_45_8h_3mo,2025-05-06 16:00:00,2025-05-07 00:00:00,Short,$96785.6030,$97043.3174,0.034783,$-12.34,-0.37%,$6.75,8.0,Loss
66,HMA_WAE_45_8h_3mo,2025-05-07 08:00:00,2025-05-07 16:00:00,Short,$96875.4480,$97079.0152,0.034727,$-10.44,-0.31%,$6.74,8.0,Loss
67,HMA_WAE_45_8h_3mo,2025-05-08 00:00:00,2025-05-08 08:00:00,Long,$99301.9662,$100707.7010,0.033854,$44.18,1.31%,$6.82,8.0,Win
68,HMA_WAE_45_8h_3mo,2025-05-08 16:00:00,2025-05-09 00:00:00,Short,$103209.9692,$103680.5844,0.032872,$-18.88,-0.56%,$6.82,8.0,Loss
69,HMA_WAE_45_8h_3mo,2025-05-09 08:00:00,2025-05-09 16:00:00,Short,$102844.5420,$103023.4760,0.032966,$-9.29,-0.27%,$6.79,8.0,Loss
70,HMA_WAE_45_8h_3mo,2025-05-10 00:00:00,2025-05-10 08:00:00,Short,$103707.8301,$103190.3394,0.032668,$13.53,0.40%,$6.74,8.0,Win
71,HMA_WAE_45_8h_3mo,2025-05-10 16:00:00,2025-05-11 00:00:00,Short,$104757.1252,$103437.1627,0.032318,$39.32,1.16%,$6.69,8.0,Win
72,HMA_WAE_45_8h_3mo,2025-05-11 08:00:00,2025-05-11 16:00:00,Short,$104097.9250,$104170.0590,0.032501,$-5.73,-0.17%,$6.77,8.0,Loss
73,HMA_WAE_45_8h_3mo,2025-05-12 00:00:00,2025-05-12 08:00:00,Short,$104415.7560,$102578.5236,0.032379,$56.17,1.66%,$6.64,8.0,Win
74,HMA_WAE_45_8h_3mo,2025-05-12 16:00:00,2025-05-13 00:00:00,Short,$102739.9243,$102716.8328,0.032884,$-2.62,-0.08%,$6.76,8.0,Loss
75,HMA_WAE_45_8h_3mo,2025-05-13 08:00:00,2025-05-13 16:00:00,Short,$103630.7087,$104155.7719,0.032579,$-20.50,-0.61%,$6.79,8.0,Loss
76,HMA_WAE_45_8h_3mo,2025-05-14 00:00:00,2025-05-14 08:00:00,Short,$103664.6917,$103565.9971,0.032545,$-0.16,-0.00%,$6.74,8.0,Loss
77,HMA_WAE_45_8h_3mo,2025-05-14 16:00:00,2025-05-15 00:00:00,Short,$103456.0661,$101830.8800,0.032588,$49.64,1.47%,$6.64,8.0,Win
78,HMA_WAE_45_8h_3mo,2025-05-15 08:00:00,2025-05-15 16:00:00,Short,$103199.7243,$103815.5919,0.032646,$-23.50,-0.70%,$6.78,8.0,Loss
79,HMA_WAE_45_8h_3mo,2025-05-16 00:00:00,2025-05-16 08:00:00,Short,$103658.3149,$104235.4217,0.032479,$-22.13,-0.66%,$6.77,8.0,Loss
80,HMA_WAE_45_8h_3mo,2025-05-16 16:00:00,2025-05-17 00:00:00,Short,$103412.1680,$103502.8656,0.032534,$-6.32,-0.19%,$6.73,8.0,Loss
81,HMA_WAE_45_8h_3mo,2025-05-17 08:00:00,2025-05-17 16:00:00,Short,$102888.0602,$103178.2133,0.032676,$-12.85,-0.38%,$6.74,8.0,Loss
82,HMA_WAE_45_8h_3mo,2025-05-18 00:00:00,2025-05-18 08:00:00,Short,$103867.4303,$105570.7590,0.032346,$-58.51,-1.74%,$6.83,8.0,Loss
83,HMA_WAE_45_8h_3mo,2025-05-18 16:00:00,2025-05-19 00:00:00,Short,$106401.0329,$103277.9031,0.031553,$95.29,2.84%,$6.52,8.0,Win
84,HMA_WAE_45_8h_3mo,2025-05-19 08:00:00,2025-05-19 16:00:00,Short,$104734.0168,$105626.5269,0.032033,$-31.97,-0.95%,$6.77,8.0,Loss
85,HMA_WAE_45_8h_3mo,2025-05-20 00:00:00,2025-05-20 08:00:00,Short,$104969.1991,$105386.3468,0.031939,$-16.69,-0.50%,$6.73,8.0,Loss
86,HMA_WAE_45_8h_3mo,2025-05-20 16:00:00,2025-05-21 00:00:00,Short,$106796.5650,$106580.4236,0.031371,$3.44,0.10%,$6.69,8.0,Win
87,HMA_WAE_45_8h_3mo,2025-05-21 08:00:00,2025-05-21 16:00:00,Short,$108918.8633,$109698.8120,0.030738,$-27.35,-0.82%,$6.74,8.0,Loss
88,HMA_WAE_45_8h_3mo,2025-05-22 00:00:00,2025-05-22 08:00:00,Short,$110989.9273,$111346.5054,0.030143,$-14.10,-0.42%,$6.71,8.0,Loss
89,HMA_WAE_45_8h_3mo,2025-05-22 16:00:00,2025-05-23 00:00:00,Short,$111640.3619,$110770.7777,0.029946,$22.72,0.68%,$6.63,8.0,Win
90,HMA_WAE_45_8h_3mo,2025-05-23 08:00:00,2025-05-23 16:00:00,Short,$108885.5300,$107371.9591,0.030683,$43.15,1.29%,$6.59,8.0,Win
91,HMA_WAE_45_8h_3mo,2025-05-24 00:00:00,2025-05-24 08:00:00,Short,$107533.9561,$108984.1648,0.031047,$-48.41,-1.45%,$6.77,8.0,Loss
92,HMA_WAE_45_8h_3mo,2025-05-24 16:00:00,2025-05-25 00:00:00,Short,$107708.0290,$107735.6509,0.030975,$-4.19,-0.13%,$6.67,8.0,Loss
93,HMA_WAE_45_8h_3mo,2025-05-25 08:00:00,2025-05-25 16:00:00,Short,$106914.4860,$109058.6921,0.031183,$-70.26,-2.11%,$6.80,8.0,Loss
94,HMA_WAE_45_8h_3mo,2025-05-26 00:00:00,2025-05-26 08:00:00,Long,$110149.6673,$109954.8151,0.030246,$-9.22,-0.28%,$6.65,8.0,Loss
95,HMA_WAE_45_8h_3mo,2025-05-26 16:00:00,2025-05-27 00:00:00,Short,$109380.0726,$109601.9336,0.030399,$-10.08,-0.30%,$6.66,8.0,Loss
96,HMA_WAE_45_8h_3mo,2025-05-27 08:00:00,2025-05-27 16:00:00,Short,$110085.0399,$108992.6391,0.030184,$29.68,0.89%,$6.58,8.0,Win
97,HMA_WAE_45_8h_3mo,2025-05-28 00:00:00,2025-05-28 08:00:00,Short,$108762.0318,$107160.8637,0.030529,$45.61,1.37%,$6.54,8.0,Win
98,HMA_WAE_45_8h_3mo,2025-05-28 16:00:00,2025-05-29 00:00:00,Short,$107727.8891,$107934.6604,0.030801,$-9.69,-0.29%,$6.65,8.0,Loss
99,HMA_WAE_45_8h_3mo,2025-05-29 08:00:00,2025-05-29 16:00:00,Short,$106966.3801,$105642.5449,0.030999,$37.76,1.14%,$6.55,8.0,Win
100,HMA_WAE_45_8h_3mo,2025-05-30 00:00:00,2025-05-30 08:00:00,Short,$104975.5060,$105595.7715,0.031565,$-22.91,-0.69%,$6.67,8.0,Loss
101,HMA_WAE_45_8h_3mo,2025-05-30 16:00:00,2025-05-31 00:00:00,Short,$103933.4873,$103798.8935,0.031859,$0.98,0.03%,$6.61,8.0,Win
102,HMA_WAE_45_8h_3mo,2025-05-31 08:00:00,2025-05-31 16:00:00,Short,$104503.8020,$104644.1759,0.031663,$-7.76,-0.23%,$6.63,8.0,Loss
103,HMA_WAE_45_8h_3mo,2025-06-01 00:00:00,2025-06-01 08:00:00,Short,$104223.8120,$104767.4576,0.031725,$-20.57,-0.62%,$6.65,8.0,Loss
104,HMA_WAE_45_8h_3mo,2025-06-01 16:00:00,2025-06-02 00:00:00,Short,$105590.1085,$105440.3638,0.031293,$1.39,0.04%,$6.60,8.0,Win
105,HMA_WAE_45_8h_3mo,2025-06-02 08:00:00,2025-06-02 16:00:00,Short,$104386.5706,$105910.9190,0.031632,$-51.57,-1.56%,$6.70,8.0,Loss
106,HMA_WAE_45_8h_3mo,2025-06-03 00:00:00,2025-06-03 08:00:00,Short,$105118.1646,$106663.9653,0.031389,$-51.87,-1.57%,$6.70,8.0,Loss
107,HMA_WAE_45_8h_3mo,2025-06-03 16:00:00,2025-06-04 00:00:00,Short,$105324.2016,$105373.4104,0.031306,$-4.84,-0.15%,$6.60,8.0,Loss
108,HMA_WAE_45_8h_3mo,2025-06-04 08:00:00,2025-06-04 16:00:00,Short,$105245.6209,$104749.2084,0.031307,$12.26,0.37%,$6.56,8.0,Win
109,HMA_WAE_45_8h_3mo,2025-06-05 00:00:00,2025-06-05 08:00:00,Short,$104465.7910,$104583.7557,0.031519,$-7.01,-0.21%,$6.59,8.0,Loss
110,HMA_WAE_45_8h_3mo,2025-06-05 16:00:00,2025-06-06 00:00:00,Short,$101457.9257,$103202.0152,0.032431,$-59.91,-1.82%,$6.69,8.0,Loss
