Trade #,Strategy,Entry Time,Exit Time,Side,Entry Price,Exit Price,Position Size,P&L ($),P&L (%),Commission,Duration (hrs),Result
1,HMA_WAE_45_8h_3mo,2025-03-25 08:00:00,2025-03-25 16:00:00,Short,$87730.4828,$87436.5664,0.039855,$8.23,0.24%,$6.97,8.0,Win
2,HMA_WAE_45_8h_3mo,2025-03-26 00:00:00,2025-03-26 08:00:00,Short,$88096.3798,$86795.8963,0.039662,$48.14,1.38%,$6.88,8.0,Win
3,HMA_WAE_45_8h_3mo,2025-03-26 16:00:00,2025-03-27 00:00:00,Short,$86865.7154,$87443.6900,0.040196,$-26.75,-0.77%,$7.03,8.0,Loss
4,HMA_WAE_45_8h_3mo,2025-03-27 08:00:00,2025-03-27 16:00:00,Short,$86930.5830,$87275.6260,0.040138,$-17.35,-0.50%,$7.01,8.0,Loss
5,HMA_WAE_45_8h_3mo,2025-03-28 00:00:00,2025-03-28 08:00:00,Short,$85170.3835,$84093.1856,0.040938,$40.66,1.17%,$6.89,8.0,Win
6,HMA_WAE_45_8h_3mo,2025-03-28 16:00:00,2025-03-29 00:00:00,Short,$84382.1678,$83773.6859,0.041292,$21.67,0.62%,$6.92,8.0,Win
7,HMA_WAE_45_8h_3mo,2025-03-29 08:00:00,2025-03-29 16:00:00,Short,$82373.0229,$82689.8643,0.042270,$-16.89,-0.49%,$6.99,8.0,Loss
8,HMA_WAE_45_8h_3mo,2025-03-30 00:00:00,2025-03-30 08:00:00,Short,$83035.0517,$82770.9348,0.041903,$7.60,0.22%,$6.94,8.0,Win
9,HMA_WAE_45_8h_3mo,2025-03-30 16:00:00,2025-03-31 00:00:00,Short,$82348.7950,$81974.4768,0.042223,$12.34,0.36%,$6.92,8.0,Win
10,HMA_WAE_45_8h_3mo,2025-03-31 08:00:00,2025-03-31 16:00:00,Short,$83377.0706,$82591.2850,0.041673,$29.30,0.84%,$6.88,8.0,Win
11,HMA_WAE_45_8h_3mo,2025-04-01 00:00:00,2025-04-01 08:00:00,Short,$83403.7772,$85323.5104,0.041631,$-83.47,-2.40%,$7.10,8.0,Loss
12,HMA_WAE_45_8h_3mo,2025-04-01 16:00:00,2025-04-02 00:00:00,Short,$85115.7608,$84468.5432,0.040765,$22.94,0.66%,$6.89,8.0,Win
13,HMA_WAE_45_8h_3mo,2025-04-02 08:00:00,2025-04-02 16:00:00,Short,$86714.2912,$82557.5481,0.039985,$162.91,4.70%,$6.60,8.0,Win
14,HMA_WAE_45_8h_3mo,2025-04-03 00:00:00,2025-04-03 08:00:00,Short,$83415.0216,$82080.3297,0.041538,$52.03,1.50%,$6.82,8.0,Win
15,HMA_WAE_45_8h_3mo,2025-04-03 16:00:00,2025-04-04 00:00:00,Short,$83171.4835,$84034.8464,0.041631,$-39.44,-1.14%,$7.00,8.0,Loss
16,HMA_WAE_45_8h_3mo,2025-04-04 08:00:00,2025-04-04 16:00:00,Short,$82818.5700,$83931.8149,0.041779,$-50.02,-1.45%,$7.01,8.0,Loss
17,HMA_WAE_45_8h_3mo,2025-04-05 00:00:00,2025-04-05 08:00:00,Short,$83483.5773,$82659.5691,0.041417,$30.70,0.89%,$6.85,8.0,Win
18,HMA_WAE_45_8h_3mo,2025-04-05 16:00:00,2025-04-06 00:00:00,Short,$83496.2210,$83066.4725,0.041382,$14.35,0.42%,$6.87,8.0,Win
19,HMA_WAE_45_8h_3mo,2025-04-06 08:00:00,2025-04-06 16:00:00,Short,$82507.0858,$78469.2150,0.041849,$165.70,4.80%,$6.57,8.0,Win
20,HMA_WAE_45_8h_3mo,2025-04-07 00:00:00,2025-04-07 08:00:00,Short,$75088.4470,$78519.1399,0.045952,$-161.26,-4.67%,$7.22,8.0,Loss
21,HMA_WAE_45_8h_3mo,2025-04-07 16:00:00,2025-04-08 00:00:00,Short,$79123.6584,$79535.7480,0.043577,$-21.42,-0.62%,$6.93,8.0,Loss
22,HMA_WAE_45_8h_3mo,2025-04-08 08:00:00,2025-04-08 16:00:00,Short,$78458.7410,$76360.5812,0.043916,$88.79,2.58%,$6.71,8.0,Win
23,HMA_WAE_45_8h_3mo,2025-04-09 00:00:00,2025-04-09 08:00:00,Short,$77655.2729,$77296.6290,0.044340,$12.47,0.36%,$6.85,8.0,Win
24,HMA_WAE_45_8h_3mo,2025-04-09 16:00:00,2025-04-10 00:00:00,Short,$82573.9124,$81636.6079,0.041669,$35.66,1.04%,$6.80,8.0,Win
25,HMA_WAE_45_8h_3mo,2025-04-10 08:00:00,2025-04-10 16:00:00,Short,$78717.6215,$79647.1037,0.043680,$-44.08,-1.28%,$6.96,8.0,Loss
26,HMA_WAE_45_8h_3mo,2025-04-11 00:00:00,2025-04-11 08:00:00,Short,$81226.1266,$82563.0009,0.042301,$-60.04,-1.75%,$6.99,8.0,Loss
27,HMA_WAE_45_8h_3mo,2025-04-11 08:00:00,2025-04-11 16:00:00,Long,$82563.0009,$83382.1281,0.041587,$30.60,0.89%,$6.94,8.0,Win
28,HMA_WAE_45_8h_3mo,2025-04-12 00:00:00,2025-04-12 08:00:00,Short,$83683.0575,$85050.9042,0.041286,$-59.98,-1.74%,$7.02,8.0,Loss
29,HMA_WAE_45_8h_3mo,2025-04-12 16:00:00,2025-04-13 00:00:00,Short,$85234.2615,$84455.3066,0.040506,$28.13,0.81%,$6.84,8.0,Win
30,HMA_WAE_45_8h_3mo,2025-04-13 08:00:00,2025-04-13 16:00:00,Short,$83807.7352,$83801.8800,0.041167,$-3.21,-0.09%,$6.90,8.0,Loss
