Trade #,Strategy,Entry Time,Exit Time,Side,Entry Price,Exit Price,Position Size,P&L ($),P&L (%),Commission,Duration (hrs),Result
1,HMA_WAE_20_BTC_12h_1y,2024-07-19 12:00:00,2024-07-24 00:00:00,Long,$66693.3300,$66334.8060,0.262133,$-111.37,-0.64%,$34.78,108.0,Loss
2,HMA_WAE_20_BTC_12h_1y,2024-07-27 00:00:00,2024-07-30 12:00:00,Long,$68243.9849,$66154.9060,0.255035,$-549.66,-3.16%,$33.74,84.0,Loss
3,HMA_WAE_20_BTC_12h_1y,2024-08-08 12:00:00,2024-08-13 00:00:00,Long,$61716.8330,$58800.5850,0.275776,$-820.45,-4.82%,$32.43,108.0,Loss
4,HMA_WAE_20_BTC_12h_1y,2024-09-09 12:00:00,2024-09-16 12:00:00,Long,$57070.5210,$58184.8830,0.288170,$304.36,1.85%,$33.53,168.0,Win
5,HMA_WAE_20_BTC_12h_1y,2024-09-18 12:00:00,2024-09-24 00:00:00,Long,$61790.8700,$63446.6008,0.269602,$429.28,2.58%,$34.21,132.0,Win
6,HMA_WAE_20_BTC_12h_1y,2024-09-25 00:00:00,2024-09-25 12:00:00,Long,$63869.9290,$63120.4340,0.265528,$-215.77,-1.27%,$33.52,12.0,Loss
7,HMA_WAE_20_BTC_12h_1y,2024-09-26 12:00:00,2024-09-30 12:00:00,Long,$65206.5770,$63295.9262,0.257770,$-508.82,-3.03%,$32.63,96.0,Loss
8,HMA_WAE_20_BTC_12h_1y,2024-10-06 12:00:00,2024-10-09 12:00:00,Long,$62851.3200,$60605.7020,0.261766,$-603.69,-3.67%,$31.73,72.0,Loss
9,HMA_WAE_20_BTC_12h_1y,2024-10-29 00:00:00,2024-11-01 12:00:00,Long,$71487.7360,$69461.2620,0.224233,$-469.98,-2.93%,$31.15,84.0,Loss
10,HMA_WAE_20_BTC_12h_1y,2024-11-06 00:00:00,2024-11-17 12:00:00,Long,$74309.1460,$89811.0620,0.211295,$3256.49,20.74%,$37.95,276.0,Win
11,HMA_WAE_20_BTC_12h_1y,2024-11-20 00:00:00,2024-11-25 12:00:00,Long,$93501.3773,$92963.5050,0.192292,$-121.30,-0.67%,$35.75,132.0,Loss
12,HMA_WAE_20_BTC_12h_1y,2024-12-05 00:00:00,2024-12-09 12:00:00,Long,$102618.1935,$97227.8318,0.174381,$-956.93,-5.35%,$33.91,108.0,Loss
13,HMA_WAE_20_BTC_12h_1y,2024-12-25 12:00:00,2024-12-28 00:00:00,Long,$99479.3148,$94707.4526,0.173153,$-842.66,-4.89%,$32.80,60.0,Loss
14,HMA_WAE_20_BTC_12h_1y,2025-01-14 00:00:00,2025-01-22 12:00:00,Long,$96596.3140,$103654.8067,0.172217,$1197.74,7.20%,$35.70,204.0,Win
15,HMA_WAE_20_BTC_12h_1y,2025-03-02 12:00:00,2025-03-07 12:00:00,Long,$94317.1350,$86758.3491,0.185264,$-1416.44,-8.11%,$32.15,120.0,Loss
16,HMA_WAE_20_BTC_12h_1y,2025-03-13 00:00:00,2025-03-18 12:00:00,Long,$83017.3479,$82673.6725,0.198544,$-84.65,-0.51%,$32.83,132.0,Loss
17,HMA_WAE_20_BTC_12h_1y,2025-04-02 00:00:00,2025-04-06 12:00:00,Long,$84609.1935,$78390.7850,0.194108,$-1222.26,-7.44%,$30.43,108.0,Loss
18,HMA_WAE_20_BTC_12h_1y,2025-04-11 00:00:00,2025-04-16 12:00:00,Long,$82170.7348,$83988.3648,0.189461,$328.46,2.11%,$31.83,132.0,Win
19,HMA_WAE_20_BTC_12h_1y,2025-04-22 12:00:00,2025-04-27 12:00:00,Long,$93489.7115,$93702.4254,0.168981,$20.11,0.13%,$31.67,120.0,Win
20,HMA_WAE_20_BTC_12h_1y,2025-05-01 12:00:00,2025-05-04 12:00:00,Long,$96538.1550,$94230.4812,0.163791,$-393.41,-2.49%,$30.87,72.0,Loss
21,HMA_WAE_20_BTC_12h_1y,2025-05-08 00:00:00,2025-05-13 12:00:00,Long,$99458.8446,$104051.6681,0.156213,$701.21,4.51%,$32.51,132.0,Win
